file;emitter;name;placa_extraida;placa_confianca;placa_origem;hodometro_extraido;hodometro_confianca;hodometro_origem
15260612852447000259550910000207361475263464.xml;12852447000259;POSTO TREVAO CACHOEIRA DA SERRA LTDA;;0;;;0;
15260634453861000147550540000187931007914955.xml;34453861000147;POSTO PLANALTO;RAQ5F96;70;RESUMO PAGAMENTO: 1299,38|  - DEPOSITO: R$ 1299,38|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 217,62-Sequencia:791495 -Terminal:CAIXA_4 -Op:KARINA C:102730 E:102968 -Placa:RAQ5F96 -km:423279|Trib aprox R$110,39 Fed, R$223,22 Est, R$0,00 Mun/Fon;423279;105;RESUMO PAGAMENTO: 1299,38|  - DEPOSITO: R$ 1299,38|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 217,62-Sequencia:791495 -Terminal:CAIXA_4 -Op:KARINA C:102730 E:102968 -Placa:RAQ5F96 -km:423279|Trib aprox R$110,39 Fed, R$223,22 Est, R$0,00 Mun/Fonte IBPT|MP 1340/2026: Subvencao de R$0,32/L ate 31/12/26 sem alteracao no PIS/COFINS
15260636350167000120550120000271011004648294.xml;36350167000120;POSTO MIMOSO;RAU3I63;70;RESUMO PAGAMENTO: 837,20|  - DEPOSITO: R$ 837,20|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 152,10-Sequencia:464829 -Terminal:PDV2 -Op:JAQUELINA C:283 E:283 -Placa:RAU3I63 -km:471905 -media:37.75 k/l|Trib aprox R$69,49 Fed, R$148,18 Est, R$0,00;471905;105;RESUMO PAGAMENTO: 837,20|  - DEPOSITO: R$ 837,20|ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio(s) ICMS 199/2022 Vlr R$ 152,10-Sequencia:464829 -Terminal:PDV2 -Op:JAQUELINA C:283 E:283 -Placa:RAU3I63 -km:471905 -media:37.75 k/l|Trib aprox R$69,49 Fed, R$148,18 Est, R$0,00 Mun/Fonte IBPT|OBS:D. BARBIERO  CIA LTDA|MP 1340/2026: Subvencao de R$0,32/L ate 31/12/26 sem alter
15260649676416000113550020000003521202018585.xml;49676416000113;POSTO AMIGAO CASTELO DOS SONHOS;RRP4G51;98;Tributos Aproximados: R$ 429,60 (8,42%) Federais, R$ 885,75 (17,37%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 1.315,35 Fonte: IBPT Chave: 92589A   #CE:T01 B03 B12 EI8001095,450  EF8001875,450  V000780,000  #CE:T06 B09 B23 EI121461,232  EF121494,070  V000032,838     DIFAL da UF desti;257633;108;Tributos Aproximados: R$ 429,60 (8,42%) Federais, R$ 885,75 (17,37%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 1.315,35 Fonte: IBPT Chave: 92589A   #CE:T01 B03 B12 EI8001095,450  EF8001875,450  V000780,000  #CE:T06 B09 B23 EI121461,232  EF121494,070  V000032,838     DIFAL da UF destino R$2,47   KM: 257633   Placa: RRP4G51 - KM / HM: 257633
15260649676416000113550030000135481928004314.xml;49676416000113;POSTO AMIGAO CASTELO DOS SONHOS LTDA;NUBO84KM;75;"|  |NOME:D. BARBIERO  CIA LTDA|CPF/CNPJ:15.209.274/0001-62RG/IE:134640012|PLACA:NUBO84KM:0|FRETISTA: VITOR GABRIEL REIS NERES|D. ADICIONAIS: MIRO|OPERADOR CX:KEMILLY|ASSINATURA:_______________________________| ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio ICMS 126/2024; ";;0;
15260730567274000128550010001520281370949565.xml;30567274000128;AUTO POSTO AMAZONIA;RAQ5F96;98;| Trib aprox R$: 108,63 Federal e 218,59 Estadual| Fonte: IBPT/empresometro.com.br    80DB15Numero do Pedido: 0578132 Vend.: 060-SILVANA NOVO| Placa: RAQ5F96| Km: 435576;435576;112;PLACA/KM: RAQ5F96 / 435576
15260749676416000113550020000011951031200427.xml;49676416000113;POSTO AMIGAO CASTELO DOS SONHOS;RAQ5F96;98;Placa: RAQ5F96 - KM / HM: 429656   KM: 429656   DIFAL da UF destino R$1,04   #CE:T07 B10 B24 EI244376,786  EF244390,700  V000013,914  #CE:T01 B04 B15 EI7466455,244  EF7466655,250  V000200,006     Tributos Aproximados: R$ 112,27 (8,50%) Federais, R$ 226,53 (17,16%) Estaduais, R$ 0,00 (0,00%) Municipa;429656;108;Placa: RAQ5F96 - KM / HM: 429656   KM: 429656   DIFAL da UF destino R$1,04   #CE:T07 B10 B24 EI244376,786  EF244390,700  V000013,914  #CE:T01 B04 B15 EI7466455,244  EF7466655,250  V000200,006     Tributos Aproximados: R$ 112,27 (8,50%) Federais, R$ 226,53 (17,16%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 338,80 Fonte: IBPT Chave: 42CA5A
15260749676416000113550020000012371032241498.xml;49676416000113;POSTO AMIGAO CASTELO DOS SONHOS;RAQ5F96;70;Placa: RAQ5F96 - Motorista: ADRIANO - KM / HM: 430139   KM: 430139 - Media: 2,74   DIFAL da UF destino R$1,02   #CE:T01 B04 B15 EI7471312,377  EF7471475,010  V000162,633  #CE:T07 B10 B24 EI244685,861  EF244699,370  V000013,509     Tributos Aproximados: R$ 92,39 (8,54%) Federais, R$ 184,53 (17,06%) E;430139;108;Placa: RAQ5F96 - Motorista: ADRIANO - KM / HM: 430139   KM: 430139 - Media: 2,74   DIFAL da UF destino R$1,02   #CE:T01 B04 B15 EI7471312,377  EF7471475,010  V000162,633  #CE:T07 B10 B24 EI244685,861  EF244699,370  V000013,509     Tributos Aproximados: R$ 92,39 (8,54%) Federais, R$ 184,53 (17,06%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 276,92 Fonte: IBPT Chave: 42CA5A
15260749676416000113550020000017721111610271.xml;49676416000113;POSTO AMIGAO CASTELO DOS SONHOS;RAU3I63;70;Placa: RAU3I63 - Motorista: DIVINO - KM / HM: 479985   KM: 479985   #CE:T01 B04 B15 EI7520159,820  EF7520339,830  V000180,010     Tributos Aproximados: R$ 96,22 (8,30%) Federais, R$ 205,19 (17,70%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 301,41 Fonte: IBPT Chave: 42CA5A;479985;108;Placa: RAU3I63 - Motorista: DIVINO - KM / HM: 479985   KM: 479985   #CE:T01 B04 B15 EI7520159,820  EF7520339,830  V000180,010     Tributos Aproximados: R$ 96,22 (8,30%) Federais, R$ 205,19 (17,70%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 301,41 Fonte: IBPT Chave: 42CA5A
15260749676416000113550020000021291171606522.xml;49676416000113;POSTO AMIGAO CASTELO DOS SONHOS;RAU3I63;70;Placa: RAU3I63 - Motorista: DIVINO - KM / HM: 482004   KM: 482004 - Media: 8,78   #CE:T01 B05 B19 EI4987151,330  EF4987381,330  V000230,000     Tributos Aproximados: R$ 120,08 (8,30%) Federais, R$ 256,07 (17,70%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 376,15 Fonte: IBPT Chave: 42C;482004;108;Placa: RAU3I63 - Motorista: DIVINO - KM / HM: 482004   KM: 482004 - Media: 8,78   #CE:T01 B05 B19 EI4987151,330  EF4987381,330  V000230,000     Tributos Aproximados: R$ 120,08 (8,30%) Federais, R$ 256,07 (17,70%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 376,15 Fonte: IBPT Chave: 42CA5A
15260749676416000113550020000024891231240477.xml;49676416000113;POSTO AMIGAO CASTELO DOS SONHOS;RRP4G51;98;Tributos Aproximados: R$ 350,10 (8,45%) Federais, R$ 716,29 (17,29%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 1.066,39 Fonte: IBPT Chave: 42CA5A   #CE:T06 B09 B23 EI132663,381  EF132696,130  V000032,749  #CE:T01 B03 B12 EI8231983,530  EF8232624,530  V000641,000     DIFAL da UF desti;268130;108;Tributos Aproximados: R$ 350,10 (8,45%) Federais, R$ 716,29 (17,29%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 1.066,39 Fonte: IBPT Chave: 42CA5A   #CE:T06 B09 B23 EI132663,381  EF132696,130  V000032,749  #CE:T01 B03 B12 EI8231983,530  EF8232624,530  V000641,000     DIFAL da UF destino R$2,45   KM: 268130 - Media: 15,58   Placa: RRP4G51 - KM / HM: 268130
15260749676416000113550020000027541271515206.xml;49676416000113;POSTO AMIGAO CASTELO DOS SONHOS;RAU3I63;70;Tributos Aproximados: R$ 124,50 (8,30%) Federais, R$ 265,50 (17,70%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 390,00 Fonte: IBPT Chave: 42CA5A   #CE:T01 B03 B13 EI3664416,086  EF3664655,320  V000239,234     KM: 484207 - Media: 9,21   Placa: RAU3I63 - Motorista: DIVINO - KM / HM: 484;484207;108;Tributos Aproximados: R$ 124,50 (8,30%) Federais, R$ 265,50 (17,70%) Estaduais, R$ 0,00 (0,00%) Municipais, Total Tributos: R$ 390,00 Fonte: IBPT Chave: 42CA5A   #CE:T01 B03 B13 EI3664416,086  EF3664655,320  V000239,234     KM: 484207 - Media: 9,21   Placa: RAU3I63 - Motorista: DIVINO - KM / HM: 484207
51260500345307000124550040008143101000550598.xml;00345307000124;POSTO REDENTOR;RAS2G89;98;PROCON Cuiaba/MTEndereco: Av. Historiador Rubens de Mendonca, 917 - Jardim Aeroporto, Cuiaba - MTTelefone (65) 3613-2100 - Cliente: 37667 Vendedor: 63171 - NAYAGELA DIAS SILVA [F] Pedidos: 65789, A PRAZO , PLACA: RAS2G89, HORIMETRO: , KM: 0, Frentista(s): [18282-ANTONIO DOMINGOS SOARES ALVES [F]] Va;;0;
51260500345307000124550040008154051000587319.xml;00345307000124;POSTO REDENTOR;RAU3I63;98;PROCON Cuiaba/MTEndereco: Av. Historiador Rubens de Mendonca, 917 - Jardim Aeroporto, Cuiaba - MTTelefone (65) 3613-2100 - Cliente: 37667 Vendedor: 60636 - DIULIENE VIEIRA DA SILVA [F] Pedidos: 70066, Dinheiro - PIX , PLACA: RAU3I63, HORIMETRO: , KM: 465303, MOTORISTA: DIVINO, Frentista(s): [62922-A;465303;105;PROCON Cuiaba/MTEndereco: Av. Historiador Rubens de Mendonca, 917 - Jardim Aeroporto, Cuiaba - MTTelefone (65) 3613-2100 - Cliente: 37667 Vendedor: 60636 - DIULIENE VIEIRA DA SILVA [F] Pedidos: 70066, Dinheiro - PIX , PLACA: RAU3I63, HORIMETRO: , KM: 465303, MOTORISTA: DIVINO, Frentista(s): [62922-ANDRE PELICER SILVA [F]] Valor Aprox. Trib: 61,56 Fed.130,64 Est. Fonte: IBPT 26.1.I
51260501048594000173550010000507641004165597.xml;01048594000173;POSTO DE SERVICOS CASTANHEIRA;RAQ5F96;70;KM: 419038 Placa: RAQ5F96 Motorista: ADRIANO;419038;105;KM: 419038 Placa: RAQ5F96 Motorista: ADRIANO
51260501369396000969550220000270881621897800.xml;01369396000969;POSTO TIO HILARIO;RAQ5F96;98;Trib aprox R$ 0,00 Fed | R$ 189,03 Est | R$ 0,00 Mun | Fonte IBPT(26.1.H) | Caixa: 2338 | Placa: RAQ5F96 | ECONOMIA DE: R$ 10,31 | Forma de Pagamento: | PIX : R$ 989,69 | | PROCON/MT AV. GEN. RAMIRO DE NORONHA, N 294 - 1 ANDAR - JARDIM CUIABA, CUIABA - MT, CEP 78043-180 | ICMS MONOFASICO COBRADO ANT;;0;
51260501369396000969550220000271201489520995.xml;01369396000969;POSTO TIO HILARIO;RAQ5F96;98;Trib aprox R$ 0,00 Fed | R$ 213,46 Est | R$ 0,00 Mun | Fonte IBPT(26.1.H) | Caixa: 2340 | Placa: RAQ5F96 | KM: 417092 | Media KM: 29,906 | ECONOMIA DE: R$ 11,64 | Forma de Pagamento: | PIX : R$ 1.117,60 | | PROCON/MT AV. GEN. RAMIRO DE NORONHA, N 294 - 1 ANDAR - JARDIM CUIABA, CUIABA - MT, CEP 78043;417092;105;Trib aprox R$ 0,00 Fed | R$ 213,46 Est | R$ 0,00 Mun | Fonte IBPT(26.1.H) | Caixa: 2340 | Placa: RAQ5F96 | KM: 417092 | Media KM: 29,906 | ECONOMIA DE: R$ 11,64 | Forma de Pagamento: | PIX : R$ 1.117,60 | | PROCON/MT AV. GEN. RAMIRO DE NORONHA, N 294 - 1 ANDAR - JARDIM CUIABA, CUIABA - MT, CEP 78043-180 | ICMS MONOFASICO COBRADO ANTERIORMENTE CONFORME CONVENIO ICMS 199/2022 | DS - DIESEL S10 COMUM
51260503983626000153550010000491301002783761.xml;03983626000153;AUTO POSTO 2001;RAQ5F96;70;KM: 419418 Placa: RAQ5F96 Motorista:;419418;105;KM: 419418 Placa: RAQ5F96 Motorista:
51260505678551000122550010000734191534820580.xml;05678551000122;NACIONAL GAS;RAQ3J90;100;tag oficial veicTransp/reboque;;0;
51260506341664000109550050003199461152242432.xml;06341664000109;POSTO ALDO SORRISO LTDA;RAU3I63;98;"ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio ICMS 199/2022; Numero do Orcamento: 854830 - Frentista: ALDITO ROBERTO DOS SANTOS - Motorista: MOTORISTA PADRAO - PLACA RAU3I63 KM 466226 - Completou: Nao - Caixa: CCI - Carteira: 8 - Cond. Pgto: ESP - PRECO ESPECIAL - BO:07 ";466226;103;"ICMS monofasico sobre combustiveis cobrado anteriormente conforme Convenio ICMS 199/2022; Numero do Orcamento: 854830 - Frentista: ALDITO ROBERTO DOS SANTOS - Motorista: MOTORISTA PADRAO - PLACA RAU3I63 KM 466226 - Completou: Nao - Caixa: CCI - Carteira: 8 - Cond. Pgto: ESP - PRECO ESPECIAL - BO:07 BI:26 EI:10346501 EF:10346741  OPERACAO COM ALIQUOTA  0 (ZERO %) DE PIS E COFINS CONFORME C 10.638 D"
51260508512459000186550110000225071161086877.xml;08512459000186;AUTO POSTO PASQUALOTTO MATRIZ;RAQ5F96;98;Trib aprox R$ 0,00 Fed | R$ 120,71 Est | R$ 0,00 Mun | Fonte IBPT(26.1.H) | Caixa: 1663 | Funcionario: 57 - KEVILIN TEIXEIRA | Frentistas: 57 | Placa: RAQ5F96 | Forma de Pagamento: | PIX BRADESCO: R$ 632,00 | ICLUSO NO SERASA-19/12/2025 | | PROCON/MT AV. GEN. RAMIRO DE NORONHA, N 294 - 1 ANDAR - JAR;;0;
51260509508324000100550010001144021845620640.xml;09508324000100;POSTO GUARA;RAU3I63;98;Motorista:DIVINO |Observacao:CLIENTE.:34391-D. BARBIERO & CIA LTDA CPF/CNPJ:15.209.274/0001-62 IE:13464001-2 ENDERECO:R AV. VITORIA DO NORTE , 140140 CIDADE..:IPIRANGA DO NORTE-MT CEP:78.578-000|PLACA: RAU3I63 |KM: 468654 MED:439,96 |OPERADOR: ELOISA DJENIFER ALVES FERREIRA| ICMS monofasico sobre co;468654;110;odometro: 468654
51260511512642000196550010004548641707573764.xml;11512642000196;POSTO AGUIA BRANCA;RAT8F79;98;#CF:B23 EI9353015,940 EF9353266,960 V251,010 Trib aprox R$: 8,52 Federal e 325,53 Estadual Fonte: IBPT 5oi7eW PLACA: RAT-8F79 ODOM: 467506 MOT: , REQ: MEDIA: 1.862,50 Km/Litro Atendente: 61977-TAILON ALEXSANDRO JESUS LIMA DOS SANTOS [F] PROCON/MT - AV. GENERAL RAMIRO DE NORONHA, N 294-B JARDIM CUIAB;467506;110;#CF:B23 EI9353015,940 EF9353266,960 V251,010 Trib aprox R$: 8,52 Federal e 325,53 Estadual Fonte: IBPT 5oi7eW PLACA: RAT-8F79 ODOM: 467506 MOT: , REQ: MEDIA: 1.862,50 Km/Litro Atendente: 61977-TAILON ALEXSANDRO JESUS LIMA DOS SANTOS [F] PROCON/MT - AV. GENERAL RAMIRO DE NORONHA, N 294-B JARDIM CUIABA - CUIABA/MT., TELEFONE (65) 3613-2100 Placa: RAT8F79 Odometro: 467506Marca= Adaptive Modelo= NFCE 
51260511512642000196550010004559461799449692.xml;11512642000196;ESTACAO AGUIA 163;RAS2G89;98;#CF:B11 EI4796426,720 EF4796501,720 V75,000 Trib aprox R$: 2,60 Federal e 99,42 Estadual Fonte: IBPT 5oi7eW PLACA: RAS-2G89 ODOM: 1 MOT: . REQ: MEDIA: 0,01 Km/Litro Atendente: 89951-DARIO LOPES [F] PROCON/MT - AV. GENERAL RAMIRO DE NORONHA, N 294-B JARDIM CUIABA - CUIABA/MT., TELEFONE (65) 3613-2100;;0;
51260511512642000196550010004559521620045633.xml;11512642000196;ESTACAO AGUIA 163;RAX6E36;98;#CF:B16 EI9635306,610 EF9635574,600 V267,983 Trib aprox R$: 9,30 Federal e 355,22 Estadual Fonte: IBPT 5oi7eW PLACA: RAX-6E36 ODOM: 402006 MOT: DACIR REQ: MEDIA: 588,02 Km/Litro Atendente: 87007-MATHEUS DA SILVA NEVES [F] PROCON/MT - AV. GENERAL RAMIRO DE NORONHA, N 294-B JARDIM CUIABA - CUIABA/MT.,;402006;110;#CF:B16 EI9635306,610 EF9635574,600 V267,983 Trib aprox R$: 9,30 Federal e 355,22 Estadual Fonte: IBPT 5oi7eW PLACA: RAX-6E36 ODOM: 402006 MOT: DACIR REQ: MEDIA: 588,02 Km/Litro Atendente: 87007-MATHEUS DA SILVA NEVES [F] PROCON/MT - AV. GENERAL RAMIRO DE NORONHA, N 294-B JARDIM CUIABA - CUIABA/MT., TELEFONE (65) 3613-2100 Placa: RAX6E36 Odometro: 402006Marca= Adaptive Modelo= NFCE N= 06A9913DCB17
